training_target_min,training_target_max,schema_version,model_name,task,animal_subset,dataset_path,dataset_sha256,feature_columns,target_column,target_transform,prediction_inverse_transform,split_strategy,is_thesis_evaluation,train_period,calibration_period,selection_period,test_period,random_state,run_id,run_timestamp,producer_source_sha,packages,artifact_path,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,tn,fp,fn,tp,metric_split,selection_eligible,roc_auc_lower,roc_auc_upper,pr_auc_lower,pr_auc_upper,winsorization_lower_quantile,winsorization_upper_quantile,winsorization_lower_value,winsorization_upper_value,mae,rmse,median_absolute_error,r2,mae_lower,mae_upper
0.0,1.0,1.0,random_forest,classification,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\cats\random_forest.joblib,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.2500000019264481,4.3891321703570796e-05,0.0,4.0,0.0,4.0,test,0,0.5,0.5,0.25,0.75,,,,,,,,,,
5.0,11.0,1.0,dummy_median,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\dummy_median.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.0,11.0,3.5,3.6742346141747673,3.5,-9.8,,
5.0,11.0,1.0,dummy_median,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\dummy_median.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.0,11.0,5.0,5.1478150704935,5.0,-16.666666666666668,,
5.0,11.0,1.0,ridge,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\ridge.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.0,11.0,0.07506053268765145,0.07546886539791249,0.07559455589986008,0.9954435602844414,,
5.0,11.0,1.0,ridge,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\ridge.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.0,11.0,0.1077481840193697,0.1085811103270422,0.1072141608071604,0.9921400949867645,,
5.0,11.0,1.0,random_forest,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\random_forest.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.0,11.0,3.1438293470994427,3.2765619385786544,3.1438293470994427,-7.588686509873847,,
5.0,11.0,1.0,random_forest,regression,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\combined\random_forest.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.0,11.0,4.643829347099444,4.7610236481917045,4.643829347099444,-14.111564119093766,,
5.0,11.0,1.0,dummy_median,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\dummy_median.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,3.5,3.6742346141747673,3.5,-9.8,2.5,4.5
5.0,11.0,1.0,dummy_median,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\dummy_median.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,5.0,5.1478150704935,5.0,-16.666666666666668,4.125,5.875
5.0,11.0,1.0,ridge,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\ridge.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,0.22236374407582993,0.22458321491541242,0.2181942211802994,0.9596499036626062,0.19365693025625141,0.25107055789540844
5.0,11.0,1.0,ridge,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\ridge.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,0.31865521327014346,0.32181261338767636,0.32204555584866945,0.9309577612430626,0.28622844751967946,0.3492519934582359
5.0,11.0,1.0,random_forest,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\random_forest.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,3.420901973756642,3.5989679512399233,3.420901973756642,-9.362056251241672,2.420901973756642,4.420901973756642
5.0,11.0,1.0,random_forest,regression,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\dogs\random_forest.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,4.920901973756642,5.071023194121874,4.920901973756642,-16.143517490214677,4.045901973756642,5.795901973756642
5.0,11.0,1.0,dummy_median,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\dummy_median.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,3.5,3.6742346141747673,3.5,-9.8,2.5,4.5
5.0,11.0,1.0,dummy_median,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\dummy_median.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,5.0,5.1478150704935,5.0,-16.666666666666668,4.125,5.875
5.0,11.0,1.0,ridge,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\ridge.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,0.22236374407582993,0.22458321491541242,0.2181942211802994,0.9596499036626062,0.19365693025625141,0.25107055789540844
5.0,11.0,1.0,ridge,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\ridge.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,0.31865521327014346,0.32181261338767636,0.32204555584866945,0.9309577612430626,0.28622844751967946,0.3492519934582359
5.0,11.0,1.0,random_forest,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\random_forest.joblib,,,,,,,,,,,,,selection,1,,,,,0.01,0.99,5.15,10.85,3.420901973756642,3.5989679512399233,3.420901973756642,-9.362056251241672,2.420901973756642,4.420901973756642
5.0,11.0,1.0,random_forest,regression,cats,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",regression_target_days,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\regression\cats\random_forest.joblib,,,,,,,,,,,,,test,0,,,,,0.01,0.99,5.15,10.85,4.920901973756642,5.071023194121874,4.920901973756642,-16.143517490214677,4.045901973756642,5.795901973756642
